process,feature,unique_values,modal_value,modal_count,modal_share,zero_share,mean,standard_deviation,minimum,maximum,constant,near_constant_98_percent,dominant_value_80_percent,duplicate_of
AlCu,Sensor_12,3673,0.2163244867976562,1176,0.24257425742574257,0.00020627062706270627,0.25478504296438304,0.13373250316286148,0.0,0.8237714538039465,False,False,False,
AlCu,Sensor_13,3467,0.0508445364419956,1176,0.24257425742574257,0.003094059405940594,0.05139841848193147,0.020110719400985123,0.0,0.5217871390309539,False,False,False,
AlCu,Sensor_14,3659,0.0208599944196511,1190,0.24546204620462045,0.00020627062706270627,0.027664332422566714,0.05403018503730776,0.0,0.9231535351537326,False,False,False,
AlCu,Sensor_15,3661,0.4862264633775253,1176,0.24257425742574257,0.00020627062706270627,0.4867682017503904,0.035153582637654515,0.0,0.6154394343158575,False,False,False,
AlCu,Sensor_16,2190,0.4221353124765495,2658,0.5482673267326733,0.00020627062706270627,0.41573653098760716,0.05268172992907558,0.0,0.5915981792884233,False,False,False,
AlCu,Sensor_17,199,0.228924129736494,1203,0.24814356435643564,0.00020627062706270627,0.2308961238809164,0.08824959394440882,0.0,0.5646787421201012,False,False,False,
AlCu,Sensor_18,343,0.5346606162883425,2690,0.5548679867986799,0.00020627062706270627,0.5271883302624245,0.06482526119830599,0.0,0.7251340630645906,False,False,False,
AlCu,Sensor_19,3673,0.0559195172840245,1176,0.24257425742574257,0.00020627062706270627,0.08483225745782431,0.10304689584556494,0.0,0.7973332051495421,False,False,False,
AlCu,Sensor_20,1069,0.7054880273581665,3770,0.7776402640264026,0.00020627062706270627,0.6588766178355528,0.19028366433719143,0.0,0.9182667954836312,False,False,False,
AlCu,Sensor_21,1072,0.5158607773378293,3770,0.7776402640264026,0.00020627062706270627,0.4835239099695112,0.13986702729822958,0.0,0.6469281058687193,False,False,False,
AlCu,Sensor_22,3669,0.3610859668910667,1176,0.24257425742574257,0.00020627062706270627,0.35935601678667195,0.025793484068204392,0.0,0.5343716876972349,False,False,False,
AlCu,Sensor_23,3673,0.1184123060084461,1176,0.24257425742574257,0.00020627062706270627,0.17585743759558314,0.15987578431237492,0.0,0.901446928433784,False,False,False,
AlCu,Sensor_24,1458,0.0,3391,0.699463696369637,0.699463696369637,0.07261737645880179,0.14384802326097376,0.0,0.961024090664897,False,False,False,
AlCu,Sensor_25,1457,0.0022878942829952,3392,0.6996699669966997,0.00020627062706270627,0.005481304899236929,0.025701229287030277,0.0,0.5717407539917296,False,False,False,
AlCu,Sensor_26,13,0.0,4752,0.9801980198019802,0.9801980198019802,0.0031190303999139597,0.031376153890454665,0.0,0.8723688103143972,False,True,True,
AlCu,Sensor_27,4340,0.0309709142439476,197,0.040635313531353134,0.0008250825082508251,0.14325507851626043,0.153265986540327,0.0,0.5769180729984733,False,False,False,
AlCu,Sensor_28,4391,8.161047140120028e-14,196,0.040429042904290426,0.00020627062706270627,0.00233745260005973,0.022358034497922324,0.0,0.7929825481612842,False,False,False,
AlCu,Sensor_29,4341,0.055188630084591,196,0.040429042904290426,0.0006188118811881188,0.27708025283256466,0.2847204184064553,0.0,0.9300520867353884,False,False,False,
AlCu,Sensor_30,4392,1.735311449778991e-13,99,0.02042079207920792,0.0016501650165016502,0.0019297756645675393,0.020108214158417313,0.0,0.998668576591614,False,False,False,
AlCu,Sensor_31,3673,0.1918043204969639,1176,0.24257425742574257,0.00020627062706270627,0.22717164852164212,0.1894850586231626,0.0,0.6893667209893868,False,False,False,
AlCu,Sensor_32,3655,0.0019725257894634,1194,0.24628712871287128,0.00020627062706270627,0.0025241146983217486,0.018059077727964768,0.0,0.7455258732034187,False,False,False,
AlCu,Sensor_33,3673,0.0065834187765669,1176,0.24257425742574257,0.00020627062706270627,0.06574546645019412,0.14427268066802593,0.0,0.7050299339983886,False,False,False,
AlCu,Sensor_34,4342,0.0302384802954523,196,0.040429042904290426,0.0006188118811881188,0.16379088469323302,0.1599069819106203,0.0,0.5095861530787407,False,False,False,
AlCu,Sensor_35,4272,0.546776357350281,504,0.10396039603960396,0.00020627062706270627,0.5467707463420213,0.007937711119564062,0.0,0.5935632259995192,False,False,False,
AlCu,Sensor_36,4391,3.3420262584945883e-13,99,0.02042079207920792,0.0016501650165016502,0.002514129823402475,0.012362393397692767,0.0,0.7472717977058688,False,False,False,
AlCu,Sensor_37,3672,0.2370484121183982,1176,0.24257425742574257,0.00020627062706270627,0.2557693530020632,0.13637203711769585,0.0,0.9596322393286184,False,False,False,
AlCu,Sensor_38,3659,4.8235290731685554e-05,1176,0.24257425742574257,0.00020627062706270627,0.001294860456408448,0.023605439515628008,0.0,0.6706134490561488,False,False,False,
AlCu,Sensor_39,2820,0.5844758589632759,1177,0.24278052805280528,0.00020627062706270627,0.5815739115095586,0.015747785221521732,0.0,0.7877502356330646,False,False,False,
AlCu,Sensor_40,3519,0.2917480724891697,1274,0.26278877887788776,0.00020627062706270627,0.29165144818907984,0.008640045312262748,0.0,0.5784239314282216,False,False,False,
AlCu,Sensor_41,463,0.0388664308100185,3360,0.693069306930693,0.0016501650165016502,0.046591049047595,0.05254897395795184,0.0,0.9411772951053512,False,False,False,
AlCu,Sensor_42,55,0.1484617337638168,3417,0.7048267326732673,0.00020627062706270627,0.1557063303901966,0.07062494029433292,0.0,0.721099849709902,False,False,False,
AlCu,Sensor_43,3670,0.0326329207535778,1176,0.24257425742574257,0.0008250825082508251,0.051911271826964915,0.07226177593222627,0.0,0.8143175628102486,False,False,False,
AlCu,Sensor_44,3672,0.0,1175,0.24236798679867988,0.24236798679867988,0.031410999437493,0.048804169084277614,0.0,0.7042629782201384,False,False,False,
AlCu,Sensor_45,3673,0.1382274886823075,1176,0.24257425742574257,0.00020627062706270627,0.16286731829457587,0.08556890022264346,0.0,0.542802147184763,False,False,False,
AlCu,Sensor_46,3659,0.0136566790024988,1176,0.24257425742574257,0.003094059405940594,0.014599960193135409,0.019753087160166962,0.0,0.5744517170309873,False,False,False,
AlCu,Sensor_47,3670,0.6281585808524457,1176,0.24257425742574257,0.00020627062706270627,0.6253846473506152,0.06611605299708717,0.0,0.8247265353329486,False,False,False,
AlCu,Sensor_48,1081,0.3810141041836016,1180,0.2433993399339934,0.00020627062706270627,0.3796552866293123,0.042342942303117075,0.0,0.5227516279335636,False,False,False,
AlCu,Sensor_49,3673,0.4406878058111587,1176,0.24257425742574257,0.00020627062706270627,0.39492506448019743,0.14965361642103386,0.0,0.8493286625605211,False,False,False,
AlCu,Sensor_50,2425,0.0247774664946557,1094,0.22566006600660066,0.00020627062706270627,0.03973136786380193,0.050103142023545565,0.0,0.5762042509284881,False,False,False,
AlCu,Sensor_51,2092,0.0293560515623954,1914,0.3948019801980198,0.00020627062706270627,0.0441577669723401,0.05571374334450215,0.0,0.7020216659985672,False,False,False,
AlCu,Sensor_52,4847,2.1980890357142924e-11,2,0.00041254125412541255,0.00020627062706270627,0.0002175556893833849,0.010100040877015895,0.0,0.6582394637442526,False,False,False,
AlCu,Sensor_53,2516,2.020774064738748e-11,21,0.004331683168316832,0.0016501650165016502,0.00013248030920296155,0.009218089008163696,0.0,0.6418994325788181,False,False,False,
AlCu,Sensor_54,4848,0.06313013630127,1,0.00020627062706270627,0.00020627062706270627,0.029232570544301704,0.02411457424802594,0.0,0.5957461207990111,False,False,False,
AlCu,Sensor_55,2421,0.0281702242390251,1178,0.242986798679868,0.00020627062706270627,0.044442328708305945,0.055105942804072404,0.0,0.6825712834558818,False,False,False,
AlCu,Sensor_56,1599,0.0022626621724586,24,0.0049504950495049506,0.0020627062706270625,0.002406898324539838,0.010367281159315919,0.0,0.7241457663294366,False,False,False,
AlCu,Sensor_57,6,0.0,3794,0.7825907590759076,0.7825907590759076,0.051119527730097716,0.11248531276829755,0.0,0.903820096409605,False,False,False,
AlCu,Sensor_58,145,0.0,3679,0.7588696369636964,0.7588696369636964,0.013432337036598919,0.06241537883050729,0.0,0.6057671623575034,False,False,False,
AlCu,Sensor_59,1693,2.9638511508532135e-05,2749,0.5670379537953796,0.00020627062706270627,0.02714794313113578,0.06391551218384385,0.0,0.594059905940391,False,False,False,
AlCu,Sensor_60,1704,0.0,3142,0.648102310231023,0.648102310231023,0.03453497774286847,0.09248371498648504,0.0,0.5665307971919593,False,False,False,
AlCu,Sensor_61,3673,6.0379877187610186e-05,1176,0.24257425742574257,0.00020627062706270627,0.0006005344957944903,0.019853824305439884,0.0,0.8849917653398296,False,False,False,
AlCu,Sensor_62,3673,0.0003043575459775,1176,0.24257425742574257,0.00020627062706270627,0.0009420876650173767,0.02226655889559103,0.0,0.907436919843484,False,False,False,
AlCu,Sensor_63,2,0.5011944657246371,4836,0.9975247524752475,0.0024752475247524753,0.49995388536393265,0.024904476935692255,0.0,0.5011944657246371,False,True,True,
AlCu,Sensor_64,26,0.8777380427728383,3161,0.6520214521452146,0.00020627062706270627,0.8540087297704129,0.10565113246165066,0.0,0.9897897078076688,False,False,False,
AlCu,Sensor_65,12,0.1666992992706391,2541,0.5241336633663366,0.0020627062706270625,0.17967970056491844,0.09233360856920383,0.0,0.9168461459885152,False,False,False,
AlCu,Sensor_66,3639,0.6705367459014473,1176,0.24257425742574257,0.00020627062706270627,0.6622251236385338,0.056029263750028785,0.0,0.880741958777226,False,False,False,
AlCu,Sensor_67,3673,0.1669785410305528,1176,0.24257425742574257,0.00020627062706270627,0.16478304323544526,0.04485504206509391,0.0,0.9308182208917009,False,False,False,
AlCu,Sensor_68,113,0.5934435141634296,1404,0.2896039603960396,0.00020627062706270627,0.5859085183328756,0.06032268320155321,0.0,0.8004530846378279,False,False,False,
AlCu,Sensor_69,2521,0.3423911428783542,2328,0.4801980198019802,0.00020627062706270627,0.3580288388855937,0.09718142351629513,0.0,0.9476351978931288,False,False,False,
AlCu,Sensor_70,4848,0.607900561920871,1,0.00020627062706270627,0.00020627062706270627,0.6076219950127052,0.009863461608335471,0.0,0.6083290417836992,False,False,False,
AlCu,Sensor_71,263,0.0001607942693215,275,0.056724422442244224,0.00020627062706270627,0.0010564661239202897,0.012261271765505007,0.0,0.7065118431135313,False,False,False,
AlCu,Sensor_72,4848,0.0001006144667169,1,0.00020627062706270627,0.00020627062706270627,0.0002768364823615908,0.009828336092985569,0.0,0.6674747270884972,False,False,False,
AlCu,Sensor_73,2521,0.6012558279641224,2328,0.4801980198019802,0.00020627062706270627,0.6008918581956054,0.009349091181364955,0.0,0.6023317813494763,False,False,False,
AlCu,Sensor_74,2521,3.399948796775327e-05,2328,0.4801980198019802,0.00020627062706270627,0.00018193482877046886,0.007741456092419037,0.0,0.534581038962694,False,False,False,
AlCu,Sensor_75,3805,0.0777852389694869,254,0.052392739273927395,0.00020627062706270627,0.14885888361459887,0.126669641037205,0.0,0.6785833130632688,False,False,False,
AlCu,Sensor_76,98,0.0,2208,0.45544554455445546,0.45544554455445546,0.19002877401870266,0.24163882271973539,0.0,0.8261882283513529,False,False,False,
AlCu,Sensor_77,287,5.481996010984188e-05,101,0.020833333333333332,0.0006188118811881188,0.0019000672051354705,0.02403026236667244,0.0,0.6813938308452974,False,False,False,
AlCu,Sensor_78,417,0.2809160994482264,1414,0.2916666666666667,0.00020627062706270627,0.2856769516132748,0.04440335702099613,0.0,0.892556117395783,False,False,False,
AlCu,Sensor_79,301,0.5129168833268054,1185,0.24443069306930693,0.00020627062706270627,0.5169279812885013,0.04140140136808852,0.0,0.6285509938419765,False,False,False,
AlCu,Sensor_80,380,0.5051163023109836,1228,0.2533003300330033,0.00020627062706270627,0.48603673850014667,0.06041617834442101,0.0,0.6161240167927797,False,False,False,
AlCu,Sensor_81,3505,0.7459633571510353,84,0.017326732673267328,0.00020627062706270627,0.3163855241582378,0.26884612479911735,0.0,0.7816685182056228,False,False,False,
